"Year","Paper","Location","Sentence"
2016,"p4298-ruoti","Abstract","We find that users prefer integrated solutions over depot-based solutions, and that tutorials are important in helping first-time users."
2016,"p4298-ruoti","Abstract","Hiding the details of how a secure email system provides security can lead to a lack of trust in the system."
2016,"p4298-ruoti","Abstract","Participants expressed a desire to use secure email, but few wanted to use it regularly and most were unsure of when they might use it."
2016,"p3847-wen","Abstract","Our system demonstrates the potential to distinguish 5 fine-motor gestures like pinching, tapping and rubbing fingers with an average f1-score of 87%."
2012,"p859","Abstract","Results show that heart rate feedback is a strong connectedness cue that affects the interaction in various ways, depending on a number of interrelated factors."
2012,"p859","Abstract","In particular, we found two distinct categories of effects: heart rate as information and heart rate as connection."
2012,"p859","Abstract","We propose two mechanisms that could explain these observations and draw out the implications they have for future use of heartbeat communication to support social connectedness or other aspects of social interaction."
2016,"p272-kim","Abstract","We found a significant effect of framing on participants’ productivity: only participants in the negative framing condition improved their productivity."
2016,"p272-kim","Abstract","The ambient widget seemed to help sustain engagement with data and enhance self-awareness."
2016,"p272-kim","Abstract","We discuss how to leverage framing effects to help people enhance their productivity, and how to design successful productivity monitoring tool."
2014,"p2917","Abstract","The results demonstrated that the memorability of multiple passwords in PHAS is better than in existing Graphical authentication systems (GASs)."
2014,"p2917","Abstract","Although the registration time is high, authentication time for successful attempts is either equivalent to or less than the time reported for previous GASs."
2014,"p2917","Abstract","A guessability study conducted with the same subjects revealed that art passwords are the least guessable, followed by Mikon, doodle and objects in that order."
2014,"p2917","Abstract","The results strongly suggest the use of art passwords in PHAS, which would offer usable as well as secure authentication."
2014,"p2917","Abstract","The preliminary results indicate that PHAS has solved the memorability problem with multiple passwords."
2010,"p15-wang","Abstract","An initial empirical study demonstrates that SHRIMP can be learned very quickly, performed immediately faster than MultiTap and handled OOV words more efficiently than DBD."
2010,"p1955-wu","Abstract","Regression analysis suggests that employee behavior on social network sites (SNSs) reveals information about both professional and personal closeness."
2010,"p1955-wu","Abstract","While some factors are predictive of general closeness (e.g. content recommendations), other factors signal that employees feel personal closeness towards their colleagues, but not professional closeness (e.g. mutual profile commenting)."
2012,"p1785","Abstract","Via a five-week study of 90 Search Dashboard users, we find that users are able to change aspects of their behavior to be more in line with that of the presented expert searchers."
2012,"p1785","Abstract","We also find that reflection can be beneficial, even without comparison, by changing participants’ views about their own search skills, what is possible with search, and what aspects of their behavior may influence search success."
2012,"p1785","Abstract","Our findings demonstrate a new way for search engines to help users modify their search behavior for positive outcomes."
2010,"p403-chin","Abstract","We found that younger adults tended to use different search strategies in different combination of tasks and interfaces, and older adults tended to use the same top-down strategies across conditions."
2010,"p403-chin","Abstract","We concluded that older adults were able to perform mental transformation of medical terms more effectively than younger adults."
2010,"p403-chin","Abstract","Thus older adults did not require changing strategies to maintain the same level of performance."
2012,"p637","Abstract","We first conduct a study using abstracted video content to measure the effects of latency on video scrubbing performance and find that even very small amounts of latency can significantly degrade navigation performance."
2012,"p637","Abstract","A second study compares the Swift technique to traditional online video players on a collection of realistic live motion videos and content-specific search tasks which finds the Swift technique reducing completion times by as much as 72% even with a relatively low latency of 500ms."
2010,"p2093-kern","Abstract","Our results show faster completion times for a resumed simple visual search task when using this technique."
2014,"p3201","Abstract","In an initial study, we found no significant effects of warning type or display technology on the reaction times."
2014,"p3201","Abstract","In a second study, after modifying our visualization to include a visual reference marker, we found that with only this minor change, reaction times were significantly lower in the HMD when compared to the HUD."
2016,"p2845-pfeuffer","Abstract","Our experimental results show that users are comparatively fast with the indirect techniques, but more accurate as users can dynamically change the zoom-target during indirect zoom gestures."
2016,"p2845-pfeuffer","Abstract","Further our studies reveal that direct and indirect zoom gestures have distinct characteristics regarding spatial use, gestural use, and bimanual parallelism."
2014,"p1039","Abstract","Two studies of EnergyBugs with 34 elementary school children have revealed that children carefully observed and negotiated the use of personally harvested energy with their classmates, as well as developed emotional connections to energy."
2014,"p1039","Abstract","In particular, moving their own bodies to generate energy led the children to more actively ask questions about energy from new perspectives."
2014,"p793","Abstract","We find that email overload, both in terms of volume and of status, is still a problem today."
2014,"p793","Abstract","Our contributions are 1) updating the state of email overload, 2) extending our understanding of overload in the context of Gmail and 3) comparing personal with work email accounts: while work email tends to be status overloaded, personal email is also type overloaded."
2010,"p1965-dugan","Abstract","Our data indicate that topics requested by users are effective at inspiring bloggers to write and lead to more social interactions around the resulting entries."
2012,"p2297","Abstract","Our results show both accuracy and response time in color-matching tasks were significantly better with SSMRecolor."
2012,"p2297","Abstract","This work demonstrates the value of a situation-specific approach to recoloring, and shows that this technique can substantially improve the usability of color displays for users of all types."
2010,"p283-bi","Abstract","Our results show that a middle ground between the optimized but new, and the familiar but inefficient (Qwerty) does exist."
2010,"p283-bi","Abstract","We show that by allowing letters to move at most one step (key) away from their original positions on Qwerty in an optimization process, one can achieve about half of what free optimization could gain in movement efficiency."
2010,"p283-bi","Abstract","An experiment shows that due to users’ familiarity with Qwerty, a layout with quasi Qwerty optimization could significantly reduce novice users’ visual search time to between those of Qwerty and a freely optimized layout."
2010,"p655-judge","Abstract","Our findings illustrate the importance of discerning availability and willingness to video conference prior to calling, the need to share everyday life activities in addition to conversation, and a need for new privacy protecting strategies that focus on autonomy and solitude as opposed to confidentiality."
2016,"p5710-bentley","Abstract","We demonstrate that various query terms and tags can be in conflict with the actual dates photos were taken for specific types of temporal terms up to 40% of the time."
2014,"p2451","Abstract","Providing empirical data from a global software development case, we show how hierarchical structures and sequentiality across the interlocked documents are critical to how actors make sense of the work of others and what to do next in a geographically distributed setting."
2014,"p2451","Abstract","Furthermore, we found that while each document is created as part of a quasi-sequential order, this characteristic does not make the document, as a single entity, into a stable object."
2014,"p2451","Abstract","Instead, we found that the documents were malleable and dynamic while suspended in intertextual structures."
2014,"p2451","Abstract","Our concept of documentscape points to how the hierarchical structure, sequentiality, and authorless nature of documents serve as a constitutive platform for the development of iterative and emergent work practices, making it possible for highly distributed actors to collaborate with limited communication, as the documentscape serves as a vehicle of coordination."
2014,"p3453","Abstract","In the second lab study, our system achieved a 1% equal error rate in user identification among seven registered users after two weeks following initial registration."
2014,"p3453","Abstract","We also found that our system was robust even when lower body segments could not be measured because of occlusions."
2014,"p3453","Abstract","In the field study, our system achieved 0.5 to 1.6% equal error rates, demonstrating that the system also works well in ecologically valid situations."
2014,"p3453","Abstract","Lastly, throughout the studies, our participants were positive about the system."
2010,"p2461-davidoff","Abstract","Our data reveals that only about 40% of events unfold in a routine manner."
2010,"p2461-davidoff","Abstract","When deviations do occur, family members often need but do not have access to accurate information about their routines."
2010,"p2461-davidoff","Abstract","With about 90% of their content concerning deviations, not routines, families do not rely on calendars to support them during these moments."
2016,"p458-hicks","Abstract","First, adding a numeric scale to open text reviews was found to elicit more explanatory, but lower quality reviews."
2016,"p458-hicks","Abstract","Second, structuring a review task into short, chunked stages elicited more diverse feedback."
2016,"p458-hicks","Abstract","Finally, showing reviewers a draft along with finished work elicited reviews that focused more on the work’s goals than aesthetic details."
2016,"p458-hicks","Abstract","These findings demonstrate the importance of carefully structuring online learning environments to ensure high quality peer reviews."
2010,"p1251-yarosh","Abstract","The children in our study were largely successful in playing together across videoconferencing, though challenges in managing visibility, attention, and intersubjectivity made it more difficult than face-to-face play."
2010,"p1251-yarosh","Abstract","We also found that our prototypes supported some types of play to varying degrees."
2014,"p2255","Abstract","The results of the study show that implementation us­ing a special functionality (temporary freezing of the label box position recalculation) was 14% faster with a compara­ble accuracy."
2014,"p2255","Abstract","The subjective evaluation revealed that the im­plementation with temporary freezing is perceived as most comfortable, fastest and most accurate."
2014,"p2255","Abstract","The implementation without temporary freezing showed much higher error rate and cannot be recommended."
2018,"paper613","Abstract","The results of this empirical user study prove that the respiration training method reduces stress, and the proposed system meets the requirements of sensing validity and engagement with 32 participants in a practical setting."
2016,"p3637-rello","Abstract","Our findings provide evidence that readability, measured via mean fixation duration, increased significantly with font size."
2016,"p3637-rello","Abstract","Further, comprehension questions had significantly more correct responses for font sizes 18 and 26."
2016,"p3637-rello","Abstract","For line spacing, we found marginal effects, suggesting that the two tested extremes (0.8 and 1.8) impair readability."
2016,"p3637-rello","Abstract","These findings provide evidence that text-heavy websites should use fonts of size 18 or larger and use default line spacing when the goal is to make a web page easy to read and comprehend."
2016,"p3637-rello","Abstract","Our results significantly differ from previous recommendations, presumably, because this is the first work to cover font sizes beyond 14 points."
2010,"p2233-lepinski","Abstract","Based on the positive results collected from this study, and in particular, high angular accuracy, we discuss our new multitouch marking menu design, which can increase the number of items in a menu, and eliminate a level of depth."
2010,"p2233-lepinski","Abstract","A second experiment showed that multitouch marking menus perform significantly faster than traditional hierarchal marking menus, reducing acquisition times in both novice and expert usage modalities."
2016,"p527-melicher","Abstract","We find that creating passwords on mobile devices takes significantly longer and is more error prone and frustrating."
2016,"p527-melicher","Abstract","Passwords created on mobile devices are also weaker, but only against attackers who can make more than 1013 guesses."
2016,"p527-melicher","Abstract","We find that the effects of password policies differ between the desktop and mobile environments, and suggest ways to ease password entry for mobile users."
2018,"paper118","Abstract","We conclude that new file metaphors may need to play different roles for different types of digital content, with a distinction being drawn between content that is ‘in production’ and virtual possessions that are, in a sense, a ‘finished’ artefact."
2016,"p5337-hong","Abstract","Participants faced challenges primarily concerning: 1) teens’ limited participation in their care, 2) communicating emotionally-sensitive information, and 3) managing physical and emotional responses."
2016,"p5337-hong","Abstract","We draw on these findings to propose design goals for sociotechnical systems to support teens in partnering in their care, highlighting the need for design to support gradually evolving partnerships in care."
2012,"p1815","Abstract","I then use a case study of Viscotheque, an iOSbased interface for group musical collaboration, to demonstrate the application of affective analysis in making sense of improvisational group music making."
2016,"p2669-marshall","Abstract","A thematic analysis identified five key components of the brutal multiplayer video game experience, which informs a set of seven design considerations."
2016,"p5114-miau","Abstract","Personalized Compass performs better for four inference tasks, while Wedge is better for a locating task."
2016,"p5114-miau","Abstract","Based on our analysis and study results, we suggest the two techniques are complementary and offer design recommendations."
2014,"p71","Abstract","Results show that pairs reported lower mental workload and stress when instructors are using the biofeedback as compared to using interfaces with facial view."
2014,"p71","Abstract","Significant correlations were found on task performance with reducing stress (i.e. increased task engagement and decreased worry) for instructors and declining mental workload (i.e. increased performance) for workers."
2010,"p55-andrews","Abstract","A pair of studies were conducted demonstrating how the spatial environment supports sensemaking by becoming part of the distributed cognitive process, providing both external memory and a semantic layer."
2014,"p3181","Abstract","In a first study, users identify the cheek and forehead as predominant areas for interaction and agree on gestures for tasks involving continuous input, such as document navigation."
2014,"p3181","Abstract","These results guide the design of several Hand-to-Face navigation techniques and reveal that gestures performed on the cheek are more efficient and less tiring than interactions directly on the HWD."
2014,"p3181","Abstract","Initial results on the social acceptability of Hand-to-Face input allow us to further refine our design choices, and reveal unforeseen results: some gestures are considered culturally inappropriate and gender plays a role in selection of specific Hand-to-Face interactions."
2014,"p2853","Abstract","Our findings, based on a combination of user experience evaluation techniques highlight three main themes: temporality, affective reactions, and embodiment."
2014,"p2853","Abstract","These findings add a semantic understanding of taste experiences, their temporality enhanced through descriptions of the affective reactions and embodiment that the five basic tastes elicit."
2014,"p2559","Abstract","Based on this analysis, the paper points to three relevant aspects when designing shapechanging artefacts for the wild, namely: 1) Affordance of shape-changing interfaces, 2) Transitions between background and foreground and 3) Interpreting physically dynamic objects."
2018,"paper629","Abstract","Our user study demonstrated that all students were able to successfully use the prototype, and showed a high user satisfaction."
2018,"paper629","Abstract","This work shows that augmented reality has potential for improving the access to education for visually impaired people."
2016,"p4921-pelikan","Abstract","Participants soon adjust aspects of turn-design such as word selection, turn length and prosody, thereby adapting to the robot’s limited perceptive abilities as they become apparent in the interaction."
2016,"p4921-pelikan","Abstract","However, coordination of turns-at-talk remains troublesome throughout the encounter, as evidenced by overlapping turns and lengthy silences around possible turn endings."
2018,"paper159","Abstract","We empirically validate that, of the two tree-based metrics, coders’ perceptions of disagreement match more closely with the n-ary tree metric than with the post-traversal tree metric."
2018,"paper293","Abstract","Our study results showed that participants significantly preferred speech bubble visualizations over traditional captions."
2018,"paper293","Abstract","From our evaluations, we further demonstrated that DHH participants preferred our prototype over traditional captions for group conversations."
2010,"p557-li","Abstract","We derived a stage-based model of personal informatics systems composed of five stages (preparation, collection, integration, reflection, and action) and identified barriers in each of the stages."
2010,"p557-li","Abstract","These stages have four essential properties: barriers cascade to later stages; they are iterative; they are user-driven and/or system-driven; and they are uni-faceted or multi-faceted."
2010,"p557-li","Abstract","From these properties, we recommend that personal informatics systems should 1) be designed in a holistic manner across the stages; 2) allow iteration between stages; 3) apply an appropriate balance of automated technology and user control within each stage to facilitate the user experience; and 4) explore support for associating multiple facets of people’s lives to enrich the value of systems."
2012,"p1149","Abstract","Through a working speech recognition prototype, we discuss two major contributions of this work: first, we give empirical evidence that shows the extent to which productive training (i.e. vocalizing words) is superior to receptive vocabulary training, and discuss the use of scaffolding hints to “unpack” factors in the learner’s linguistic knowledge that may impact reading."
2018,"paper208","Abstract","In a Wizard of Oz study, we found that, for the task of cooking a recipe, nearly one-quarter of all user-assistant exchanges were initiated from implicit conversational cues rather than from plain questions."
2018,"paper208","Abstract","Given that these implicit cues occur in such high frequency, we conclude by presenting a set of design implications for the design of guided task experiences in contemporary conversational assistants."
2012,"p1027","Abstract","We conducted an initial study to identify the set of attributes users attend to when comparing workflows, finding that they consider result quality, their knowledge of commands, and the efficiency of the workflow."
2012,"p1027","Abstract","Finally, we conducted an evaluation of Delta on a small corpus of 30 workflows and found that the intermediate list view provided the best information density."
2016,"p540-marforio","Abstract","We conducted a user study with 221 participants and found that the deployment of personalized security indicators decreased the phishing attack success rate to 50%."
2016,"p540-marforio","Abstract","Personalized security indicators can, therefore, help phishing detection in mobile applications and their reputation as an anti-phishing mechanism in the mobile context should be reconsidered."
2018,"paper439","Abstract","Our study showed users could correctly recall relative key positions even when keys were invisible, although with greater absolute errors and overlaps between neighboring keys."
2018,"paper439","Abstract","Our research also showed adapting the spatial model in decoding improved the invisible keyboard performance."
2018,"paper439","Abstract","This method increased the input speed by 11.5% over simply hiding the keyboard and using the default spatial model."
2018,"paper439","Abstract","Our 3-day multi-session user study showed typing on an invisible keyboard could reach a practical level of performance after only a few sessions of practice: the input speed increased from 31.3 WPM to 37.9 WPM after 20 25 minutes practice on each day in 3 days, approaching that of a regular visible keyboard (41.6 WPM)."
2018,"paper439","Abstract","Overall, our investigation shows an invisible keyboard with adapted spatial model is a practical and promising interface option for the mobile text entry systems."
2016,"p2623-doroudi","Abstract","For complex web search challenges, we show that providing expert examples is an effective form of training, surpassing other forms of training in nearly all measures of interest."
2016,"p2623-doroudi","Abstract","However, such training relies on access to domain expertise, which may be expensive or lacking."
2016,"p2623-doroudi","Abstract","We show that having workers validate the work of their peer workers can be even more effective than having them review expert examples if we only present solutions filtered by a threshold length."
2016,"p2623-doroudi","Abstract","The results suggest that crowdsourced solutions of peer workers may be harnessed in an automated training pipeline."
2012,"p3131","Abstract","The data collected through anonymous monitoring suggests that tactile feedback is successfully adopted in one third of all trips and has positive effects on the user’s level of distraction."
2014,"p341","Abstract","Results from a qualitative evaluation show that Juxtapoze makes the process of creating image compositions enjoyable and supports creative expression and serendipity."
2016,"p4390-silvennoinen","Abstract","Aesthetic and usability preferences of icons from different eras varied, which allowed the investigation of the process in which users experience icons."
2016,"p1869-hosio","Abstract","Our results show that the prices for the first and last 10% battery segments differ substantially."
2016,"p1869-hosio","Abstract","Our findings also quantify the tradeoffs that users consider in relation to battery, and provide a monetary model that can be used to measure the value of apps and enable fair ad-hoc sharing of smartphone resources."
2018,"paper443","Abstract","Results highlighted between-diagnostic-group differences in playing patterns with children with ASD showing broad patterns of EF deficits, but with relative strengths in nonsocial short-term memory, and preserved response to emotional inhibition cues."
2018,"paper443","Abstract","We showed the system could predict IQ, an important target for clinical treatment, towards the goal of developing platforms to act as long-term, efficient, and effective behavioral biomarkers for ASD."
2012,"p1263","Abstract","Additional auditory cues were found to allow for smaller changes in metadata to be more accurately detected, but were least preferred when PULSE was used in context."
2012,"p1263","Abstract","Results also showed that PULSE enhanced and shaped user understanding, with audio presentation allowing a closer coupling of digital data to the physical world."
2012,"p2431","Abstract","Initial user experiences indicate a preference for linear overlaps as a stacking configuration."
2014,"p2531","Abstract","They reported a reduction in the freezing of gait duration as a result of the auditory stimulation provided, and that they feel the system enhanced their confidence during walking."
2010,"p2079-walsh","Abstract","We conducted a pilot study of the game prototype which indicated that it was fun and challenging for users, and that the data obtained had the characteristics necessary to gain insights into the interaction effects among items."
2016,"p3895-ashktorab","Abstract","We focus on challenges participants’ identified in designing for cyberbullying support and prevention and present a set of five potential cyberbullying mitigation solutions based on the results of the design sessions."
2016,"p1200-cecchinato","Abstract","We found that personal and work accounts are managed differently, resulting in diverse retrieval strategies: while work accounts are more structured and thus email is retrieved through folders, personal accounts have fewer folders and users rely primarily on the built-in search option."
2016,"p1200-cecchinato","Abstract","Moreover, retrieval occurs primarily on laptops and PCs compared to smartphones."
2016,"p4238-oakley","Abstract","We report generally positive user reactions to these demonstrators: the area touch interactions were perceived as quick, convenient and easy to learn and remember."
2010,"p869-sjolie","Abstract","A mental rotation network of brain areas is identified, matching previous results."
2010,"p869-sjolie","Abstract","The addition of interactivity increases the activation in core areas of this network, with more profound effects in frontal and preparatory motor areas."
2010,"p869-sjolie","Abstract","The increases from 3d-motion are restricted to primarily visual areas."
2010,"p869-sjolie","Abstract","We relate these effects to emerging theories of cognition and potential applications for brain-computer interfaces (BCIs)."
2010,"p869-sjolie","Abstract","Our results demonstrate one way to provoke increased activity in task-relevant areas, making it easier to detect and use for adaptation and development of HCI."
2010,"p2203-liu","Abstract","The models show that “social influence” is the most influential factor for north rural users while users’ “self efficacy” carries the largest weight in East China."
2010,"p2203-liu","Abstract","Both factors are more important than “product and service quality”."
2010,"p2203-liu","Abstract","It primarily reveals the possibility to predict users’ technology acceptance with socio-economic variables."
2012,"p753","Abstract","Our results show that regardless of the relationship situation, video chat affords a unique opportunity for couples to share presence over distance, which in turn provides intimacy."
2012,"p753","Abstract","While beneficial, couples still face challenges in using video chat, including contextual (e.g., location of partners, time zones), technical (e.g., mobility, audio/video quality, networking), and personal (e.g., a lack of physicality needed by most for intimate sexual acts) challenges."
2018,"paper109","Abstract","During design-led workshops, participants expressed ambivalence towards reporting."
2018,"paper109","Abstract","While recognizing their exposure to hate crime, they simultaneously rejected being identified as victim as implied in the act of reporting."
2018,"paper109","Abstract","We argue that by producing ambiguously designed texts alongside conventional outcomes, we ‘trouble’ our design research narratives as a tactic to disrupt static and reductive understandings of vulnerability within HCI."
2014,"p2833","Abstract","Our qualitative findings indicate that SFF improves awareness of individual and group performance, helps groups stay together, and improves in-situ motivation."
2010,"p777-rader","Abstract","Results indicate that it is easier for information consumers to search for files in hierarchies created by information producers who imagine their intended audience to be someone similar to them, independent of whether the producer and consumer actually share common ground."
2014,"p2221","Abstract","We compare WADE with an alternative state-of-the-art runtime toolkit overloading approach in a user-study, finding that WADE significantly simplifies the task of GUI-based add-on development."
2014,"p4127","Abstract","Simulating different peephole sizes from 4′′ (smartphone) up to 120′′ (control condition), we confirmed that larger peepholes significantly improve learning speed, navigation speed, and reduce task load; however, this added benefit diminishes with growing sizes."
2014,"p4127","Abstract","Our data shows that a relatively small, tablet-sized peephole can serve as a “sweet spot” between peephole size and both user navigation performance and user task load."
2010,"p2103-hornof","Abstract","Eye movement analyses reveal extensive coordination and overlapping of human information processes and the extent to which task manipulations helped or hindered dual task performance."
2010,"p2103-hornof","Abstract","For example, auditory cues helped only a little when the secondary display was peripherally visible, but they helped a lot when it was not peripherally visible."
2018,"paper643","Abstract","We show that the ability to vote, comment and share leads to viral spread, deeper engagement, longer retention and emergence of true dialog among participants."
2010,"p2287-boring","Abstract","We found that participants achieved highest performance with automatic zooming and temporary image freezing."
2018,"paper283","Abstract","We evaluated the perceived output quality, requisite effort, and usability of both interfaces; the concept of voicesetting and our interfaces were highly valued by end-users as an enhancement to communication quality."
2018,"paper135","Abstract","We show that all pocket transfer techniques are fast and seen as highly convenient."
2018,"paper135","Abstract","Mid-air gestures are the most efficient touchless method for transferring a single item, while the multimodal method is the fastest touchless method when multiple items are transferred."
2010,"p1223-aarhus","Abstract","Based on qualitative studies we find that people engage in elaborate boundary work to maintain the order of the home when managing disease and adopting new healthcare technology."
2010,"p1223-aarhus","Abstract","In our analysis we relate this boundary work to two continuums of visibility-invisibility and integration-segmentation in disease management."
2016,"p59-gupta","Abstract","DualKey outperformed the existing techniques on long-term performance with a speed of 19.6 WPM."
2016,"p59-gupta","Abstract","A second 10 day study with eight participants showed that the new sweqty layout improved upon DualKey even further to 21.59 WPM for long-term speed, was comparable to existing techniques on novice speed and outperformed existing techniques on novice accuracy rate."
2012,"p815","Abstract","A three-session user evaluation showed that the keyboard with the stable rectangular layout significantly improved typing speed compared to a control condition with no personalization."
2012,"p815","Abstract","Although no similar benefit was found for the keyboard that also offered visual adaptation, overall subjective response to both new touchscreen keyboards was positive."
2012,"p2579","Abstract","Results suggest 1) nonseamless interfaces with visual boundaries facilitate spatial understanding, 2) correct perception of self-to-object relationships is not correlated with understanding object-toobject relationships within the environment, and 3) increased video game experience corresponds with better spatial understanding of an environment observed in 360degrees."
2012,"p2579","Abstract","This work can assist researchers of panoramic video systems in evaluating the optimal interface for observation and teleoperation of remote systems."
2012,"p839","Abstract","This work demonstrates the feasibility of estimating affective state and communication preferences from a stream of presence states that are already being shared in a deployed presence system."
2010,"p1281-iqbal","Abstract","Results showed significant interactions between the primary and secondary tasks, where certain combinations of complexity and conversations were found especially detrimental to driving."
2014,"p2431","Abstract","Our findings, from a qualitative study of 14 social media users, highlight how although some sites are more associated with ‘keepable’ social media than others, even those are not seen as archives in the usual sense of the word."
2014,"p2431","Abstract","We show how this perception is bound up with five contradictions, which center on social media as curated, as a reliable repository of meaningful content, as readily encountered and as having the potential to present content as a compelling narrative."
2014,"p2431","Abstract","We conclude by highlighting opportunities for design relating to curation through use and what this implies for personal digital archives, which are known to present difficulties in terms of curation and re-finding."
2016,"p2038-putnam","Abstract","While further improvements are needed, the tool enabled therapists to use games from a wider range of selections and therapists were generally satisfied with the game recommendations and the tool’s user experience."
2012,"p2287","Abstract","Results confirm the importance of rigorously testing the typographical component as a part of text output evaluation in interactive systems."
2018,"paper482","Abstract","Through our work we identify three factors to consider when co-designing with and for mothers: 1) interrupted interactions 2) elements that might distract a baby and 3) the importance of empowering mothers through positive reinforcement."
2018,"paper165","Abstract","A preliminary pilot test (N = 6), centered on an autonomous driving scenario, yields promising results, illustrating proof of concept and indicating that a basic implementation of the system can invoke genuine responses from test participants."
2014,"p1255","Abstract","The session making process was much faster than the traditional process, taking 88 minutes instead of a full day."
2014,"p1255","Abstract","We found that meta-data elicitation was useful for session creation."
2014,"p1255","Abstract","Moreover, the sessions created by Frenzy were the basis of the CSCW 2014 schedule."
2012,"p267","Abstract","A second experiment validates the method, showing that it allows faster scrolling in long and short documents than current scrolling-device gain methods, and that subjective preferences favour it."
2014,"p2951","Abstract","Data collected from gesture keyboard users in a user study is used to assess the performance of the classification framework, demonstrating that the technique has considerable promise."
2018,"paper31","Abstract","Amongst others, we show that the index and middle finger are the most suited fingers for BoD interaction and that the grip shifts towards the top edge with increasing phone sizes."
2014,"p473","Abstract","We find that this juxtaposition of concepts helps explain a highly generative creative practice—toolmaking—within the hackerspace we studied."
2010,"p1203-mamykina","Abstract","We show how individuals with considerable diabetes experience found a unique way to adopt this health-monitoring application to construct and negotiate their identities as persons with a chronic disease."
2018,"paper227","Abstract","Our findings offer a new perspective on reconceptualising AAC design and use revealing four areas for future design: (1) incorporating an embodied view of communication, (2) designing to emphasise children’s competence and agency, (3) regulating the presence, prominence and value of AAC, and (4) supporting a wider range of communicative functions that help address children’s needs."
2014,"p3743","Abstract","On balance, users preferred two translations to one, using them to both notice differences and infer meaning from uncertain translations, with no increase in workload."
2014,"p3743","Abstract","This suggests that this interface may help improve cross-lingual communication in practical applications and lays the groundwork for a larger design space around systems that highlight possible errors to support communication."
2012,"p2599","Abstract","The findings from this study reveal that the children were able to successfully participate in the sessions and collaborate with other children."
2012,"p2599","Abstract","The findings also highlight the positive experience that involvement in such a process can offer this population."
